City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,39.94,97,100,10.4,light rain
1,Ushuaia,AR,-54.8,-68.3,38.86,60,75,12.66,broken clouds
2,Nanortalik,GL,60.1432,-45.2371,39.06,91,36,8.63,scattered clouds
3,Iracoubo,GF,5.4802,-53.2011,76.03,88,29,5.44,moderate rain
4,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,3.44,broken clouds
5,Arzgir,RU,45.3728,44.2206,83.57,43,37,8.12,scattered clouds
6,Luba,GQ,3.4568,8.5547,75.09,90,100,4.99,light rain
7,Tecoanapa,MX,16.5167,-98.75,79.52,84,100,2.73,overcast clouds
8,Deputatskiy,RU,69.3,139.9,48.61,78,100,5.21,overcast clouds
9,Vaini,TO,-21.2,-175.2,75.36,78,20,13.8,few clouds
10,Tashtagol,RU,52.7657,87.8894,51.55,88,85,5.64,light rain
11,Kodiak,US,57.79,-152.4072,60.31,67,20,3.44,few clouds
12,Hermanus,ZA,-34.4187,19.2345,54.81,83,66,14.05,moderate rain
13,Cervenia,RO,43.8333,25.4667,72.3,61,0,0.54,clear sky
14,Ipueiras,BR,-7.0333,-40.45,67.12,79,29,11.43,scattered clouds
15,Hilo,US,19.7297,-155.09,80.33,85,40,6.91,scattered clouds
16,Butaritari,KI,3.0707,172.7902,82.04,64,100,12.44,overcast clouds
17,Paamiut,GL,61.994,-49.6678,41.77,87,14,10.45,few clouds
18,Terrace,CA,54.5163,-128.6035,75.11,56,20,5.75,few clouds
19,Olafsvik,IS,64.8945,-23.7142,49.73,83,100,5.08,overcast clouds
20,Busselton,AU,-33.65,115.3333,59.36,60,63,11.36,broken clouds
21,Dharan,NP,26.8125,87.2835,88.74,63,37,3.78,scattered clouds
22,Steinbach,DE,50.1667,8.5667,70.09,72,0,4.61,clear sky
23,Charcas,MX,23.1333,-101.1167,64.04,77,3,9.8,clear sky
24,Cockburn Town,TC,21.4612,-71.1419,82.71,76,57,15.95,broken clouds
25,Guangyuan,CN,32.442,105.823,87.82,69,100,6.38,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,67,4.0,broken clouds
27,Eureka,US,40.8021,-124.1637,74.68,90,40,5.01,scattered clouds
28,Poum,NC,-20.2333,164.0167,70.03,65,3,15.28,clear sky
29,Port Alfred,ZA,-33.5906,26.891,52.18,86,5,3.0,clear sky
30,Palmer,US,42.1584,-72.3287,65.57,83,100,3.44,light rain
31,Astana,KZ,51.1801,71.446,57.15,51,20,8.95,few clouds
32,Nakhon Thai,TH,17.1006,100.8374,84.76,73,62,4.05,broken clouds
33,Kaitangata,NZ,-46.2817,169.8464,49.6,97,100,5.44,overcast clouds
34,Hithadhoo,MV,-0.6,73.0833,81.91,76,100,12.12,overcast clouds
35,Kavaratti,IN,10.5669,72.642,81.43,77,34,11.14,scattered clouds
36,Tezu,IN,27.9167,96.1667,91.45,60,99,3.44,overcast clouds
37,Makakilo City,US,21.3469,-158.0858,82.72,66,100,12.66,overcast clouds
38,Phalodi,IN,27.1333,72.3667,82.72,72,67,25.39,broken clouds
39,Punta Arenas,CL,-53.15,-70.9167,37.51,75,100,14.97,overcast clouds
40,Avarua,CK,-21.2078,-159.775,69.85,68,75,12.66,broken clouds
41,Atuona,PF,-9.8,-139.0333,77.38,73,12,22.53,few clouds
42,Banda Aceh,ID,5.5577,95.3222,86.07,65,76,6.35,broken clouds
43,Colotlan,MX,22.1,-103.2667,62.47,87,92,1.34,overcast clouds
44,Ulladulla,AU,-35.35,150.4667,64.89,51,100,10.56,light rain
45,Talnakh,RU,69.4865,88.3972,52.21,51,14,19.93,few clouds
46,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,88,100,11.5,overcast clouds
47,Salinas,US,36.6777,-121.6555,68.99,83,100,9.22,haze
48,Rikitea,PF,-23.1203,-134.9692,74.21,77,5,18.66,clear sky
49,Caravelas,BR,-17.7125,-39.2481,69.55,85,33,8.01,scattered clouds
50,Thompson,CA,55.7435,-97.8558,66.36,82,40,5.75,scattered clouds
51,Okhotsk,RU,59.3833,143.3,61.3,81,92,13.51,overcast clouds
52,Boyolangu,ID,-8.1181,111.8935,79.23,77,83,13.8,broken clouds
53,Nishihara,JP,26.1842,127.7558,91.06,70,75,14.97,broken clouds
54,Nome,US,64.5011,-165.4064,53.67,59,100,5.75,overcast clouds
55,San Cristobal,VE,7.7669,-72.225,69.98,91,2,2.17,clear sky
56,Port Lincoln,AU,-34.7333,135.8667,55.99,72,82,20.94,broken clouds
57,Mehamn,NO,71.0357,27.8492,48.15,93,100,13.8,light rain
58,Mount Isa,AU,-20.7333,139.5,82.17,13,0,8.05,clear sky
59,Meulaboh,ID,4.1363,96.1285,84.74,66,95,1.05,overcast clouds
60,Albany,US,42.6001,-73.9662,61.88,94,100,3.38,overcast clouds
61,Guanica,PR,17.9716,-66.908,79.92,92,48,4.34,scattered clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,78,0,19.57,clear sky
63,Sitka,US,57.0531,-135.33,57.09,94,100,4.61,fog
64,Muli,MV,2.9167,73.5667,81.73,74,53,4.72,broken clouds
65,Chuy,UY,-33.6971,-53.4616,48.22,84,34,11.7,scattered clouds
66,Bluff,NZ,-46.6,168.3333,49.59,97,100,9.08,light rain
67,Sao Filipe,CV,14.8961,-24.4956,78.01,77,79,6.64,broken clouds
68,Marsa Matruh,EG,31.3525,27.2453,77.2,88,40,5.75,scattered clouds
69,Tahta,EG,26.7693,31.5021,79.57,48,0,9.98,clear sky
70,Hobart,AU,-42.8794,147.3294,62.06,62,75,16.11,light intensity shower rain
71,Barrow,US,71.2906,-156.7887,39.22,87,100,21.85,overcast clouds
72,Hauterive,FR,46.0901,3.4459,59.76,97,96,1.74,overcast clouds
73,High Level,CA,58.5169,-117.136,73.51,56,20,3.44,few clouds
74,Victoria,HK,22.2855,114.1577,90.18,83,96,5.01,overcast clouds
75,Faya,SA,18.3851,42.4509,64.51,73,43,2.17,scattered clouds
76,Yantal,RU,56.8471,105.2542,50.23,89,100,8.23,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,34.45,80,99,1.52,overcast clouds
78,Bengkulu,ID,-3.8004,102.2655,85.53,65,34,6.35,scattered clouds
79,Ilulissat,GL,69.2167,-51.1,39.22,93,100,8.05,overcast clouds
80,Castro,BR,-24.7911,-50.0119,60.1,86,100,10.96,overcast clouds
81,Qasigiannguit,GL,68.8193,-51.1922,39.45,98,100,5.23,light rain
82,Jamestown,US,42.097,-79.2353,58.64,72,0,1.01,mist
83,Agadez,NE,19.75,10.25,84.51,17,0,9.55,clear sky
84,Iqaluit,CA,63.7506,-68.5145,40.73,100,100,5.75,light rain
85,Anadyr,RU,64.75,177.4833,54.1,58,40,8.95,scattered clouds
86,Safaga,EG,26.7292,33.9365,85.93,45,0,12.01,clear sky
87,Bredasdorp,ZA,-34.5322,20.0403,51.37,93,50,8.7,light rain
88,Pevek,RU,69.7008,170.3133,42.15,66,21,6.51,few clouds
89,Henties Bay,NA,-22.116,14.2845,52.75,89,0,9.46,clear sky
90,Nyimba,ZM,-14.5566,30.8149,61.77,68,6,2.75,clear sky
91,Fortuna,US,40.5982,-124.1573,58.93,91,100,3.44,overcast clouds
92,North Platte,US,41.1239,-100.7654,67.37,78,0,5.99,clear sky
93,Carnarvon,AU,-24.8667,113.6333,66.72,44,51,15.97,broken clouds
94,Sept-Iles,CA,50.2001,-66.3821,65.05,57,75,8.05,broken clouds
95,Weligama,LK,5.9667,80.4167,84.13,67,82,11.5,broken clouds
96,Port Elizabeth,ZA,-33.918,25.5701,56.32,82,0,18.41,clear sky
97,Yellowknife,CA,62.456,-114.3525,64.92,68,20,8.05,few clouds
98,Synya,RU,65.3718,58.0387,57.67,42,54,1.77,broken clouds
99,Kisangani,CD,0.5167,25.2,68.2,98,100,1.63,overcast clouds
100,Bideford,GB,51.0179,-4.2046,62.1,88,100,4.56,overcast clouds
101,Cidreira,BR,-30.1811,-50.2056,61.3,94,100,4.83,overcast clouds
102,Bonfim,BR,3.0833,-59.95,76.46,78,9,2.82,clear sky
103,Ribeira Grande,PT,38.5167,-28.7,71.33,64,42,2.93,scattered clouds
104,Kawalu,ID,-7.3817,108.2082,78.4,76,84,4.7,broken clouds
105,Lagoa,PT,39.05,-27.9833,70.02,74,100,9.95,overcast clouds
106,Ponta Do Sol,PT,32.6667,-17.1,70.43,67,39,8.23,scattered clouds
107,Codrington,AU,-38.2667,141.9667,55.87,76,92,17.07,overcast clouds
108,Ishigaki,JP,24.3448,124.1572,89.73,79,75,16.11,broken clouds
109,Ballina,AU,-28.8667,153.5667,72.79,57,1,8.1,clear sky
110,Bethel,US,41.3712,-73.414,67.77,86,75,0.0,broken clouds
111,Dunedin,NZ,-45.8742,170.5036,49.57,95,99,6.55,overcast clouds
112,East London,ZA,-33.0153,27.9116,56.34,67,0,8.05,clear sky
113,Inhambane,MZ,-23.865,35.3833,66.18,94,20,4.61,few clouds
114,Esperance,AU,-33.8667,121.9,55.24,61,24,20.71,few clouds
115,Nikolskoye,RU,59.7035,30.7861,69.87,62,66,4.32,broken clouds
116,Altay,CN,47.8667,88.1167,65.89,24,0,8.99,clear sky
117,Kinchil,MX,20.9167,-89.95,80.06,81,52,6.02,broken clouds
118,Kitimat,CA,54.0524,-128.6534,75.58,39,2,1.61,clear sky
119,Naryshkino,RU,52.9678,35.7268,69.78,52,99,14.63,overcast clouds
120,Corning,US,42.1428,-77.0547,59.77,99,20,4.61,few clouds
121,Mataura,NZ,-46.1927,168.8643,50.88,98,99,1.66,moderate rain
122,Gazipur,BD,23.9981,90.423,91.36,66,40,16.11,haze
123,Mar Del Plata,AR,-38.0023,-57.5575,40.08,84,40,11.99,scattered clouds
124,Port Shepstone,ZA,-30.7414,30.455,61.79,70,100,7.58,overcast clouds
125,Ferme-Neuve,CA,46.7001,-75.4493,62.56,68,100,2.98,overcast clouds
126,Namtsy,RU,62.7161,129.6658,57.65,77,77,7.34,light rain
127,Clyde River,CA,70.4692,-68.5914,39.43,100,100,2.3,overcast clouds
128,Itarema,BR,-2.9248,-39.9167,77.49,79,65,15.7,broken clouds
129,Khatanga,RU,71.9667,102.5,47.37,67,100,9.91,overcast clouds
130,Torbay,CA,47.6666,-52.7314,62.76,97,100,9.22,light intensity shower rain
131,Bereda,ES,43.2686,-7.5406,51.42,94,66,2.51,broken clouds
132,Vostok,RU,46.4856,135.8833,78.48,37,59,8.05,broken clouds
133,Srednekolymsk,RU,67.45,153.6833,65.26,51,100,5.91,overcast clouds
134,Labuhan,ID,-6.8844,112.2051,86.52,56,14,6.17,few clouds
135,Alta Floresta,BR,-9.8756,-56.0861,75.4,45,48,2.35,scattered clouds
136,Tocopilla,CL,-22.092,-70.1979,58.87,67,0,7.72,clear sky
137,Naze,JP,28.3667,129.4833,85.12,78,100,11.95,overcast clouds
138,Hamada,JP,34.8833,132.0833,79.52,69,35,6.71,scattered clouds
139,Xixiang,CN,35.1628,112.865,94.14,61,91,3.94,overcast clouds
140,Nelson Bay,AU,-32.7167,152.15,71.1,46,96,4.0,overcast clouds
141,Cape Town,ZA,-33.9258,18.4232,55.11,89,75,11.5,moderate rain
142,Dikson,RU,73.5069,80.5464,40.87,78,100,8.46,overcast clouds
143,Plettenberg Bay,ZA,-34.0527,23.3716,52.83,82,15,11.97,few clouds
144,Zeya,RU,53.75,127.2667,71.51,49,6,9.82,clear sky
145,Tautira,PF,-17.7333,-149.15,74.57,79,100,11.14,light rain
146,Airai,TL,-8.9266,125.4092,74.32,36,73,5.5,broken clouds
147,Ambon,ID,-3.6954,128.1814,86.14,70,20,6.91,few clouds
148,Northam,GB,51.0333,-4.2167,61.39,95,100,4.68,overcast clouds
149,Myitkyina,MM,25.3833,97.4,95.13,53,52,0.54,broken clouds
150,Siena,IT,43.2167,11.4,76.51,73,56,6.17,broken clouds
151,Dobryanka,RU,58.4619,56.4165,58.89,53,1,2.93,clear sky
152,Norman Wells,CA,65.282,-126.8329,77.04,44,75,8.05,broken clouds
153,Korla,CN,41.7597,86.1469,78.6,43,1,8.61,clear sky
154,Luganville,VU,-15.5333,167.1667,80.26,80,90,3.36,overcast clouds
155,Sadovoye,RU,47.7764,44.5089,84.06,39,100,4.0,overcast clouds
156,Kapaa,US,22.0752,-159.319,82.38,78,40,8.05,scattered clouds
157,Viransehir,TR,37.2353,39.7631,88.79,31,0,2.93,clear sky
158,Sangar,RU,63.9242,127.4739,56.5,83,100,3.47,light rain
159,Walvis Bay,NA,-22.9575,14.5053,51.1,93,0,8.05,clear sky
160,Belaya Gora,RU,68.5333,146.4167,61.86,59,81,7.05,broken clouds
161,Flin Flon,CA,54.7682,-101.865,65.07,73,96,4.97,overcast clouds
162,Messina,IT,38.1933,15.5497,86.92,67,0,3.44,clear sky
163,New Norfolk,AU,-42.7826,147.0587,59.92,76,96,5.01,overcast clouds
164,Geraldton,AU,-28.7667,114.6,63.01,55,75,14.97,broken clouds
165,Fairbanks,US,64.8378,-147.7164,71.94,50,40,6.91,scattered clouds
166,Kolomyya,UA,48.5306,25.0403,64.89,89,4,3.6,clear sky
167,Yarmouth,US,41.7057,-70.2286,68.02,84,75,6.91,broken clouds
168,Bonavista,CA,48.6499,-53.1147,60.73,93,100,21.3,overcast clouds
169,Kruisfontein,ZA,-34.0033,24.7314,48.88,84,1,13.94,clear sky
170,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,40,3.44,light rain
171,Katsuura,JP,35.1333,140.3,80.62,85,100,27.78,overcast clouds
172,Tasiilaq,GL,65.6145,-37.6368,42.96,71,99,5.1,overcast clouds
173,Saint-Augustin,CA,51.226,-58.6502,62.04,69,100,7.74,overcast clouds
174,Lorengau,PG,-2.0226,147.2712,83.64,73,48,10.67,scattered clouds
175,Xai-Xai,MZ,-25.0519,33.6442,66.43,50,2,14.0,clear sky
176,Irpa Irpa,BO,-17.7167,-66.2667,61.25,14,25,5.46,scattered clouds
177,Mahebourg,MU,-20.4081,57.7,71.26,88,40,3.44,scattered clouds
178,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,77,20,8.05,few clouds
179,Kulhudhuffushi,MV,6.6221,73.07,81.5,73,68,5.44,broken clouds
180,Morant Bay,JM,17.8815,-76.4093,83.82,84,11,5.46,few clouds
181,San Matias,BO,-16.3667,-58.4,83.71,45,18,9.69,few clouds
182,Mogadishu,SO,2.0371,45.3438,76.87,73,75,12.66,broken clouds
183,Necochea,AR,-38.5473,-58.7368,41.79,80,57,13.82,broken clouds
184,Faanui,PF,-16.4833,-151.75,70.29,83,100,7.36,light rain
185,Sinnamary,GF,5.3833,-52.95,77.07,86,24,6.33,heavy intensity rain
186,Avera,US,33.194,-82.5271,71.65,82,47,4.99,scattered clouds
187,Yar-Sale,RU,66.8333,70.8333,51.42,75,100,13.96,overcast clouds
188,Saint-Philippe,RE,-21.3585,55.7679,72.21,69,0,8.34,clear sky
189,Sheregesh,RU,52.9209,87.9869,51.26,85,80,3.85,light rain
190,Waipawa,NZ,-41.4122,175.5153,58.24,89,100,9.75,moderate rain
191,Guerrero Negro,MX,27.9769,-114.0611,73.26,80,100,12.41,overcast clouds
192,Lock Haven,US,41.137,-77.4469,60.98,95,35,2.42,scattered clouds
193,Vanimo,PG,-2.6741,141.3028,84.18,70,43,4.23,scattered clouds
194,Hasaki,JP,35.7333,140.8333,84.29,82,100,24.83,overcast clouds
195,Edson,CA,53.5835,-116.4356,68.14,64,0,4.61,clear sky
196,Dong Hoi,VN,17.4833,106.6,93.67,52,62,6.38,broken clouds
197,Clarence Town,AU,-32.5833,151.7833,71.15,57,87,7.85,overcast clouds
198,Amarante Do Maranhao,BR,-5.5667,-46.7422,70.83,57,0,2.59,clear sky
199,Kununurra,AU,-15.7667,128.7333,91.38,9,8,8.05,clear sky
200,Nouadhibou,MR,20.931,-17.0347,70.34,85,6,17.63,clear sky
201,Klaksvik,FO,62.2266,-6.589,50.92,93,100,27.92,overcast clouds
202,Ontario,US,34.0633,-117.6509,88.88,45,20,10.36,few clouds
203,Senneterre,CA,48.3835,-77.2328,62.69,68,100,2.68,overcast clouds
204,Linxia,CN,35.6003,103.2064,61.02,90,100,5.55,overcast clouds
205,Bakaly,RU,55.1789,53.8028,65.61,53,36,7.52,scattered clouds
206,Hamilton,US,39.1834,-84.5333,67.98,86,0,0.0,clear sky
207,Bahia Blanca,AR,-38.7196,-62.2724,39.51,65,35,10.33,scattered clouds
208,Brae,GB,60.3964,-1.353,51.12,78,51,15.03,broken clouds
209,Raudeberg,NO,61.9875,5.1352,52.47,33,79,6.89,broken clouds
210,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.22,86,89,0.36,overcast clouds
211,Darhan,MN,49.4867,105.9228,60.6,67,90,1.01,overcast clouds
212,Alofi,NU,-19.0595,-169.9187,69.69,78,9,19.57,clear sky
213,Saskylakh,RU,71.9167,114.0833,44.67,80,100,17.16,overcast clouds
214,Gizo,SB,-8.103,156.8419,81.46,76,21,12.03,light rain
215,Saldanha,ZA,-33.0117,17.9442,50.05,82,42,21.25,light rain
216,Lebu,CL,-37.6167,-73.65,45.27,81,71,5.88,broken clouds
217,Igurubi,TZ,-4.0,33.7,68.04,41,24,4.56,few clouds
218,Dzilam Gonzalez,MX,21.2833,-88.9333,77.68,85,82,7.72,broken clouds
219,Batemans Bay,AU,-35.7167,150.1833,67.06,47,100,11.01,overcast clouds
220,Muskogee,US,35.5834,-95.3336,72.34,89,100,4.61,overcast clouds
221,Atar,MR,20.5169,-13.0499,87.33,52,71,11.83,broken clouds
222,Tres Arroyos,AR,-38.3739,-60.2798,37.87,78,14,13.02,light rain
223,Leningradskiy,RU,69.3833,178.4167,38.7,82,41,11.54,scattered clouds
224,Ha Tinh,VN,18.3333,105.9,92.3,55,12,4.38,few clouds
225,Krasnoselkup,RU,65.7,82.4667,63.61,45,40,21.81,scattered clouds
226,Nan,TH,18.8333,100.6667,82.42,70,40,6.91,scattered clouds
227,Goderich,CA,43.7501,-81.7165,63.91,94,99,2.3,overcast clouds
228,Bandarbeyla,SO,9.4942,50.8122,81.86,62,95,26.13,overcast clouds
229,Inuvik,CA,68.3499,-133.7218,68.86,58,100,3.44,overcast clouds
230,Bonga,ET,7.2833,36.2333,60.51,98,99,0.76,light rain
231,Ahipara,NZ,-35.1667,173.1667,63.75,94,100,21.36,moderate rain
232,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,74,81,6.4,broken clouds
233,Platanos,GR,37.6667,21.6167,74.08,45,0,3.85,clear sky
234,Chokurdakh,RU,70.6333,147.9167,61.21,47,100,14.27,overcast clouds
235,Narsaq,GL,60.9167,-46.05,43.02,74,1,2.26,clear sky
236,Ostrovnoy,RU,68.0531,39.5131,69.03,68,20,22.37,few clouds
237,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.69,82,61,14.2,broken clouds
238,Namibe,AO,-15.1961,12.1522,59.32,90,25,3.33,scattered clouds
239,Kungurtug,RU,50.5994,97.5228,58.77,38,76,2.98,broken clouds
240,Belmonte,BR,-15.8631,-38.8828,71.29,80,57,11.97,broken clouds
241,Manokwari,ID,-0.8667,134.0833,82.45,75,78,5.37,broken clouds
242,Fougeres,FR,48.35,-1.2,60.66,94,0,2.91,clear sky
243,Yagodnoye,RU,62.55,149.6667,60.4,62,94,6.11,overcast clouds
244,Urumqi,CN,43.801,87.6005,72.55,23,0,8.95,clear sky
245,Waitati,NZ,-45.75,170.5667,49.68,97,100,4.23,light rain
246,Bichura,RU,50.5881,107.6022,65.01,46,100,3.18,overcast clouds
247,Te Anau,NZ,-45.4167,167.7167,49.05,98,100,1.19,light rain
248,Oparino,RU,59.8518,48.2783,64.74,76,62,4.72,broken clouds
249,Dudinka,RU,69.4058,86.1778,52.63,50,12,20.33,few clouds
250,Ouadda,CF,8.0777,22.4007,67.33,99,100,6.11,light rain
251,Teluk Nibung,ID,3.001,99.8164,77.2,90,97,0.98,overcast clouds
252,Somerset,US,40.5668,-74.5496,71.49,83,100,0.0,overcast clouds
253,Hobyo,SO,5.3505,48.5268,79.11,70,38,20.65,scattered clouds
254,Fauske,NO,67.2588,15.3918,50.04,52,97,2.48,overcast clouds
255,Adrar,MR,20.5022,-10.0711,89.33,38,27,7.31,light rain
256,Beringovskiy,RU,63.05,179.3167,46.08,68,55,4.83,broken clouds
257,Vredendal,ZA,-31.6683,18.5012,51.37,91,70,4.14,broken clouds
258,Pyay,MM,18.8167,95.2167,79.54,91,100,14.63,light rain
259,Teahupoo,PF,-17.8333,-149.2667,66.16,80,100,7.36,light rain
260,Hay River,CA,60.8156,-115.7999,73.38,49,40,6.91,scattered clouds
